id,code,gather_name,name,period,alias_name,city,city_id,district,district_id,zone,block_id,address,geo_point,geo_fence,is_within,status,created_at,updated_at,deleted_at,distance,geo_point_address,geo_point_name,address_point,name_point,confidence,construction_confidence,nearest,recover,community_type,mark_status,sync_tag,clean_status,is_residential,longitude,latitude,geo_point_name_longitude,geo_point_name_latitude,cre_ts,cre_user,upd_ts,upd_user
7810,31011500385,,昌邑路28弄,,昌邑小区(搜房),上海市,1,浦东新区,310115,陆家嘴,1000904,昌邑路28号,POINT(121.519562 31.245899),"MULTIPOLYGON(((121.519569 31.245945,121.519519 31.245872,121.519596 31.245891,121.519587 31.245941,121.519569 31.245945)))",1,1,1505902058,1537234983,0,0,POINT(121.54394782519 31.251332357021),null,浦东大道307弄4,昌邑小区,1163,1026,-1,0,,1,1,2,1,121.519562,31.245899,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
7826,31011500389,,浦发大厦,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东南路588号,POINT(121.5180998 31.24116525),"MULTIPOLYGON(((121.518488 31.241458,121.517914 31.241211,121.517806 31.240852,121.518996 31.24042,121.519099 31.240486,121.518542 31.241416,121.518488 31.241458)))",1,1,1505902058,1537234983,0,0,POINT(121.51808591768 31.240874135066),POINT(121.517922 31.241042),浦东南路588号-b单元-1楼,浦东发展银行大厦,1162,0,-1,0,,1,1,2,0,121.5180998,31.24116525,121.517922,31.241042,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
7850,31011500394,,浦东南路1780弄,,浦东南路1780弄小区(搜房),上海市,1,浦东新区,310115,陆家嘴,1000904,浦东南路1780弄,POINT(121.525024 31.222587),"MULTIPOLYGON(((121.524986 31.222637,121.525255 31.222653,121.525215 31.222174,121.524923 31.222201,121.524977 31.222641,121.524986 31.222637)))",1,1,1505902058,1537234983,0,0,POINT(121.52516551012 31.222630733299),null,浦东南路1780弄-1-1号-临,东明新村小区,1195,1026,-1,0,,1,1,2,1,121.525024,31.222587,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
7866,31011500399,,新梅联合广场,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东南路999号,POINT(121.5218062 31.23618755),"MULTIPOLYGON(((121.522493 31.235248,121.522799 31.235406,121.523028 31.235306,121.523001 31.235117,121.52252 31.235063,121.522466 31.235136,121.522466 31.235136,121.522457 31.235148,121.522493 31.235248)))",1,1,1505902058,1537234983,0,0,POINT(121.52270648861 31.235370329759),POINT(121.522763 31.2354),浦东南路941号,浦东金融广场,1163,0,-1,0,,1,1,2,0,121.5218062,31.23618755,121.522763,31.2354,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
7902,31011500405,,乳山五村,,,上海市,1,浦东新区,310115,陆家嘴,1000904,商城路918弄商城路906号商城路930号,POINT(121.5296305 31.23784369),"MULTIPOLYGON(((121.528766 31.238052,121.529912 31.238608,121.530428 31.237489,121.52966 31.237087,121.529584 31.237087,121.529251 31.23718,121.528771 31.238006,121.528766 31.238052)))",1,1,1505902058,1537234983,0,0,POINT(121.52949305738 31.238373084803),POINT(121.529614 31.237797),东方路777号3楼,乳山五村,1195,1026,-1,0,,1,1,2,1,121.5296305,31.23784369,121.529614,31.237797,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8158,31011500450,,荣成小区,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东大道501弄,POINT(121.52503 31.248362),"MULTIPOLYGON(((121.524594 31.248632,121.524981 31.247551,121.525214 31.247474,121.525582 31.246209,121.526292 31.246386,121.525924 31.247598,121.525196 31.248732,121.524639 31.248671,121.524594 31.248632)))",1,1,1505902058,1537234984,0,0,POINT(121.52497892218 31.248125946553),POINT(121.525672 31.246824),,,1163,1026,-1,0,,1,1,2,1,121.52503,31.248362,121.525672,31.246824,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8165,31011500452,,新大陆广场,,,上海市,1,浦东新区,310115,陆家嘴,1000904,南泉北路588号,POINT(121.524855 31.234595),"MULTIPOLYGON(((121.524857 31.234641,121.524817 31.234587,121.524889 31.234549,121.524893 31.234603,121.524857 31.234641)))",1,1,1505902058,1537234984,0,0,POINT(121.52469392398 31.234622413143),POINT(121.525344 31.235558),,,1163,0,-1,0,,1,1,2,0,121.524855,31.234595,121.525344,31.235558,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8512,31011500501,,申金大厦,,,上海市,1,浦东新区,310115,陆家嘴,1000904,商城路297号,POINT(121.516933 31.235048),"MULTIPOLYGON(((121.517146 31.23538,121.517344 31.234816,121.51685 31.234674,121.516778 31.234677,121.516675 31.235002,121.516697 31.235121,121.517088 31.235364,121.517146 31.23538)))",1,1,1505902058,1537234985,0,0,POINT(121.51682393498 31.234951331796),POINT(121.517275 31.234985),,,1195,1026,-1,0,,1,1,2,0,121.516933,31.235048,121.517275,31.234985,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8539,31011500506,,瑞苑公寓,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦东大道3号,POINT(121.517648 31.245746),"MULTIPOLYGON(((121.517147 31.245631,121.51783 31.246001,121.51809 31.245507,121.5173 31.245291,121.517147 31.2456,121.517147 31.245631)))",1,1,1505902058,1537234985,0,0,POINT(121.51749575611 31.245467452491),POINT(121.518111 31.245493),,,5291,1026,-1,0,,1,1,2,1,121.517648,31.245746,121.518111,31.245493,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8915,31011500556,,东方路402弄,,,上海市,1,浦东新区,310115,陆家嘴,1000904,东方路402弄,POINT(121.52776 31.239624),"MULTIPOLYGON(((121.527749 31.239662,121.527708 31.239597,121.527807 31.239628,121.527771 31.239662,121.527749 31.239662)))",1,0,1505902058,1520232202,1520232202,0,POINT(121.52832909778 31.239778476686),POINT(121.528942 31.239958),,,2,0,-1,0,,1,1,2,1,121.52776,31.239624,121.528942,31.239958,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
